0.004810;0.028429;0.000223;0.886810;0.000296;0.000870;0.000235;0.000821;0.030555;0.000408;0.000197;0.000303;0.000361;0.007815;0.037868
0.001705;0.001383;0.000136;0.924762;0.000176;0.006230;0.000197;0.001668;0.008872;0.000303;0.000123;0.000305;0.000239;0.001390;0.052511
0.067611;0.082167;0.001816;0.206771;0.003950;0.002247;0.002304;0.002689;0.007375;0.004291;0.001715;0.004425;0.010138;0.406165;0.196335
0.000144;0.000024;0.000001;0.992081;0.000001;0.004984;0.000004;0.000152;0.001243;0.000004;0.000001;0.000020;0.000012;0.000406;0.000924
0.025060;0.016792;0.000696;0.710947;0.001164;0.006084;0.000799;0.004761;0.012197;0.001332;0.000614;0.001172;0.001484;0.024812;0.192087
0.870202;0.003684;0.000228;0.001822;0.014145;0.001372;0.000252;0.000335;0.001209;0.015143;0.000210;0.032521;0.036889;0.020224;0.001764
0.001411;0.001658;0.000021;0.884174;0.000073;0.001537;0.000028;0.000705;0.002652;0.000084;0.000019;0.000076;0.000070;0.004843;0.102648
0.000954;0.001202;0.000189;0.920894;0.000215;0.006204;0.000248;0.005198;0.019932;0.000583;0.000157;0.000192;0.000256;0.001607;0.042168
0.357397;0.071062;0.001906;0.030168;0.007165;0.002116;0.002261;0.002123;0.011451;0.003611;0.001655;0.007630;0.025362;0.448351;0.027742
0.173213;0.030256;0.001223;0.013219;0.006850;0.001433;0.001244;0.001197;0.005294;0.004899;0.000970;0.007761;0.042159;0.641641;0.068642
0.179403;0.020268;0.001429;0.008468;0.013743;0.001882;0.001355;0.000984;0.003499;0.007898;0.000904;0.021680;0.107718;0.549049;0.081719
0.028346;0.105421;0.001384;0.649945;0.002352;0.002661;0.001528;0.002641;0.009925;0.002615;0.001235;0.002415;0.004856;0.101550;0.083125
0.333692;0.031890;0.000676;0.007039;0.005293;0.000911;0.000654;0.000738;0.005517;0.003347;0.000547;0.009295;0.040654;0.534028;0.025720
0.213754;0.040001;0.004079;0.130766;0.009626;0.005947;0.004845;0.004863;0.008735;0.010201;0.003567;0.009852;0.027970;0.352934;0.172859
0.243678;0.016610;0.002597;0.003602;0.048692;0.005579;0.002308;0.002259;0.020037;0.134037;0.001697;0.034609;0.144369;0.315248;0.024677
0.368275;0.001629;0.000870;0.001757;0.227541;0.014378;0.001052;0.000848;0.001833;0.046535;0.000716;0.075114;0.242903;0.012684;0.003866
